Equipos con valores de corner nulos (null) o ausentes en xg_by_team.json:
================================================================================
"Equipo"                              | "Corners For"            | "Corners Against"               | "Fuente"                                       
burkina-faso                   | null         | null            | Historical results weighted by opponent quality
burundi                        | null         | null            | Historical results weighted by opponent quality
cambodia                       | null         | null            | Historical results weighted by opponent quality
canary-islands                 | null         | null            | Historical results weighted by opponent quality
cascadia                       | null         | null            | Historical results weighted by opponent quality
catalonia                      | null         | null            | Historical results weighted by opponent quality
cayman-islands                 | null         | null            | Historical results weighted by opponent quality
central-african-republic       | null         | null            | Historical results weighted by opponent quality
central-spain                  | null         | null            | Historical results weighted by opponent quality
chad                           | null         | null            | Historical results weighted by opponent quality
chagos-islands                 | null         | null            | Historical results weighted by opponent quality
chameria                       | null         | null            | Historical results weighted by opponent quality
chechnya                       | null         | null            | Historical results weighted by opponent quality
chile                          | null         | null            | Historical results weighted by opponent quality
china                          | null         | null            | Historical results weighted by opponent quality
cilento                        | null         | null            | Historical results weighted by opponent quality
comoros                        | null         | null            | Historical results weighted by opponent quality
congo                          | null         | null            | Historical results weighted by opponent quality
cook-islands                   | null         | null            | Historical results weighted by opponent quality
corsica                        | null         | null            | Historical results weighted by opponent quality
county-of-nice                 | null         | null            | Historical results weighted by opponent quality
crimea                         | null         | null            | Historical results weighted by opponent quality
cuba                           | null         | null            | Historical results weighted by opponent quality
curaçao                        | null         | null            | Historical results weighted by opponent quality
cyprus                         | null         | null            | Historical results weighted by opponent quality
czechoslovakia                 | null         | null            | Historical results weighted by opponent quality
darfur                         | null         | null            | Historical results weighted by opponent quality
djibouti                       | null         | null            | Historical results weighted by opponent quality
dominica                       | null         | null            | Historical results weighted by opponent quality
dominican-republic             | null         | null            | Historical results weighted by opponent quality
donetsk-pr                     | null         | null            | Historical results weighted by opponent quality
dr-congo                       | null         | null            | Historical results weighted by opponent quality
délvidék                       | null         | null            | Historical results weighted by opponent quality
east-turkestan                 | null         | null            | Historical results weighted by opponent quality
el-salvador                    | null         | null            | Historical results weighted by opponent quality
elba-island                    | null         | null            | Historical results weighted by opponent quality
ellan-vannin                   | null         | null            | Historical results weighted by opponent quality
equatorial-guinea              | null         | null            | Historical results weighted by opponent quality
eritrea                        | null         | null            | Historical results weighted by opponent quality
estonia                        | null         | null            | Historical results weighted by opponent quality
eswatini                       | null         | null            | Historical results weighted by opponent quality
ethiopia                       | null         | null            | Historical results weighted by opponent quality
falkland-islands               | null         | null            | Historical results weighted by opponent quality
faroe-islands                  | null         | null            | Historical results weighted by opponent quality
felvidék                       | null         | null            | Historical results weighted by opponent quality
fiji                           | null         | null            | Historical results weighted by opponent quality
finland                        | null         | null            | Historical results weighted by opponent quality
franconia                      | null         | null            | Historical results weighted by opponent quality
french-guiana                  | null         | null            | Historical results weighted by opponent quality
frøya                          | null         | null            | Historical results weighted by opponent quality
gabon                          | null         | null            | Historical results weighted by opponent quality
galicia                        | null         | null            | Historical results weighted by opponent quality
gambia                         | null         | null            | Historical results weighted by opponent quality
georgia                        | null         | null            | Historical results weighted by opponent quality
german-dr                      | null         | null            | Historical results weighted by opponent quality
gibraltar                      | null         | null            | Historical results weighted by opponent quality
gotland                        | null         | null            | Historical results weighted by opponent quality
gozo                           | null         | null            | Historical results weighted by opponent quality
greece                         | null         | null            | Historical results weighted by opponent quality
greenland                      | null         | null            | Historical results weighted by opponent quality
grenada                        | null         | null            | Historical results weighted by opponent quality
guadeloupe                     | null         | null            | Historical results weighted by opponent quality
guam                           | null         | null            | Historical results weighted by opponent quality
guatemala                      | null         | null            | Historical results weighted by opponent quality
guernsey                       | null         | null            | Historical results weighted by opponent quality
guinea                         | null         | null            | Historical results weighted by opponent quality
guinea-bissau                  | null         | null            | Historical results weighted by opponent quality
guyana                         | null         | null            | Historical results weighted by opponent quality
găgăuzia                       | null         | null            | Historical results weighted by opponent quality
hitra                          | null         | null            | Historical results weighted by opponent quality
hmong                          | null         | null            | Historical results weighted by opponent quality
honduras                       | null         | null            | Historical results weighted by opponent quality
hong-kong                      | null         | null            | Historical results weighted by opponent quality
hungary                        | null         | null            | Historical results weighted by opponent quality
india                          | null         | null            | Historical results weighted by opponent quality
indonesia                      | null         | null            | Historical results weighted by opponent quality
iraqi-kurdistan                | null         | null            | Historical results weighted by opponent quality
ireland                        | null         | null            | Historical results weighted by opponent quality
isle-of-man                    | null         | null            | Historical results weighted by opponent quality
isle-of-wight                  | null         | null            | Historical results weighted by opponent quality
israel                         | null         | null            | Historical results weighted by opponent quality
italy                          | null         | null            | Historical results weighted by opponent quality
jamaica                        | null         | null            | Historical results weighted by opponent quality
jersey                         | null         | null            | Historical results weighted by opponent quality
kabylia                        | null         | null            | Historical results weighted by opponent quality
kazakhstan                     | null         | null            | Historical results weighted by opponent quality
kenya                          | null         | null            | Historical results weighted by opponent quality
kernow                         | null         | null            | Historical results weighted by opponent quality
kiribati                       | null         | null            | Historical results weighted by opponent quality
kosovo                         | null         | null            | Historical results weighted by opponent quality
kurdistan                      | null         | null            | Historical results weighted by opponent quality
kuwait                         | null         | null            | Historical results weighted by opponent quality
kyrgyzstan                     | null         | null            | Historical results weighted by opponent quality
kárpátalja                     | null         | null            | Historical results weighted by opponent quality
laos                           | null         | null            | Historical results weighted by opponent quality
latvia                         | null         | null            | Historical results weighted by opponent quality
lebanon                        | null         | null            | Historical results weighted by opponent quality
lesotho                        | null         | null            | Historical results weighted by opponent quality
liberia                        | null         | null            | Historical results weighted by opponent quality
libya                          | null         | null            | Historical results weighted by opponent quality
liechtenstein                  | null         | null            | Historical results weighted by opponent quality
lithuania                      | null         | null            | Historical results weighted by opponent quality
luhansk-pr                     | null         | null            | Historical results weighted by opponent quality
luxembourg                     | null         | null            | Historical results weighted by opponent quality
macau                          | null         | null            | Historical results weighted by opponent quality
madagascar                     | null         | null            | Historical results weighted by opponent quality
madrid                         | null         | null            | Historical results weighted by opponent quality
malawi                         | null         | null            | Historical results weighted by opponent quality
malaysia                       | null         | null            | Historical results weighted by opponent quality
maldives                       | null         | null            | Historical results weighted by opponent quality
mali                           | null         | null            | Historical results weighted by opponent quality
malta                          | null         | null            | Historical results weighted by opponent quality
manchukuo                      | null         | null            | Historical results weighted by opponent quality
mapuche                        | null         | null            | Historical results weighted by opponent quality
marshall-islands               | null         | null            | Historical results weighted by opponent quality
martinique                     | null         | null            | Historical results weighted by opponent quality
matabeleland                   | null         | null            | Historical results weighted by opponent quality
maule-sur                      | null         | null            | Historical results weighted by opponent quality
mauritania                     | null         | null            | Historical results weighted by opponent quality
mauritius                      | null         | null            | Historical results weighted by opponent quality
mayotte                        | null         | null            | Historical results weighted by opponent quality
menorca                        | null         | null            | Historical results weighted by opponent quality
micronesia                     | null         | null            | Historical results weighted by opponent quality
moldova                        | null         | null            | Historical results weighted by opponent quality
monaco                         | null         | null            | Historical results weighted by opponent quality
mongolia                       | null         | null            | Historical results weighted by opponent quality
montenegro                     | null         | null            | Historical results weighted by opponent quality
montserrat                     | null         | null            | Historical results weighted by opponent quality
mozambique                     | null         | null            | Historical results weighted by opponent quality
myanmar                        | null         | null            | Historical results weighted by opponent quality
namibia                        | null         | null            | Historical results weighted by opponent quality
nepal                          | null         | null            | Historical results weighted by opponent quality
new-caledonia                  | null         | null            | Historical results weighted by opponent quality
nicaragua                      | null         | null            | Historical results weighted by opponent quality
niger                          | null         | null            | Historical results weighted by opponent quality
niue                           | null         | null            | Historical results weighted by opponent quality
north-korea                    | null         | null            | Historical results weighted by opponent quality
north-macedonia                | null         | null            | Historical results weighted by opponent quality
north-vietnam                  | null         | null            | Historical results weighted by opponent quality
northern-cyprus                | null         | null            | Historical results weighted by opponent quality
northern-ireland               | null         | null            | Historical results weighted by opponent quality
northern-mariana-islands       | null         | null            | Historical results weighted by opponent quality
occitania                      | null         | null            | Historical results weighted by opponent quality
oman                           | null         | null            | Historical results weighted by opponent quality
orkney                         | null         | null            | Historical results weighted by opponent quality
padania                        | null         | null            | Historical results weighted by opponent quality
pakistan                       | null         | null            | Historical results weighted by opponent quality
palau                          | null         | null            | Historical results weighted by opponent quality
palestine                      | null         | null            | Historical results weighted by opponent quality
panjab                         | null         | null            | Historical results weighted by opponent quality
papua-new-guinea               | null         | null            | Historical results weighted by opponent quality
parishes-of-jersey             | null         | null            | Historical results weighted by opponent quality
philippines                    | null         | null            | Historical results weighted by opponent quality
provence                       | null         | null            | Historical results weighted by opponent quality
puerto-rico                    | null         | null            | Historical results weighted by opponent quality
quebec                         | null         | null            | Historical results weighted by opponent quality
raetia                         | null         | null            | Historical results weighted by opponent quality
republic-of-st-pauli           | null         | null            | Historical results weighted by opponent quality
rhodes                         | null         | null            | Historical results weighted by opponent quality
romani-people                  | null         | null            | Historical results weighted by opponent quality
romania                        | null         | null            | Historical results weighted by opponent quality
rwanda                         | null         | null            | Historical results weighted by opponent quality
ryūkyū                         | null         | null            | Historical results weighted by opponent quality
réunion                        | null         | null            | Historical results weighted by opponent quality
saare-county                   | null         | null            | Historical results weighted by opponent quality
saarland                       | null         | null            | Historical results weighted by opponent quality
saint-barthélemy               | null         | null            | Historical results weighted by opponent quality
saint-helena                   | null         | null            | Historical results weighted by opponent quality
saint-kitts-and-nevis          | null         | null            | Historical results weighted by opponent quality
saint-lucia                    | null         | null            | Historical results weighted by opponent quality
saint-martin                   | null         | null            | Historical results weighted by opponent quality
saint-pierre-and-miquelon      | null         | null            | Historical results weighted by opponent quality
saint-vincent-and-the-grenadines | null         | null            | Historical results weighted by opponent quality
samoa                          | null         | null            | Historical results weighted by opponent quality
san-marino                     | null         | null            | Historical results weighted by opponent quality
sark                           | null         | null            | Historical results weighted by opponent quality
saugeais                       | null         | null            | Historical results weighted by opponent quality
sealand                        | null         | null            | Historical results weighted by opponent quality
seborga                        | null         | null            | Historical results weighted by opponent quality
seychelles                     | null         | null            | Historical results weighted by opponent quality
shetland                       | null         | null            | Historical results weighted by opponent quality
sierra-leone                   | null         | null            | Historical results weighted by opponent quality
silesia                        | null         | null            | Historical results weighted by opponent quality
singapore                      | null         | null            | Historical results weighted by opponent quality
sint-maarten                   | null         | null            | Historical results weighted by opponent quality
slovakia                       | null         | null            | Historical results weighted by opponent quality
slovenia                       | null         | null            | Historical results weighted by opponent quality
solomon-islands                | null         | null            | Historical results weighted by opponent quality
somalia                        | null         | null            | Historical results weighted by opponent quality
somaliland                     | null         | null            | Historical results weighted by opponent quality
south-ossetia                  | null         | null            | Historical results weighted by opponent quality
south-sudan                    | null         | null            | Historical results weighted by opponent quality
south-yemen                    | null         | null            | Historical results weighted by opponent quality
sri-lanka                      | null         | null            | Historical results weighted by opponent quality
sudan                          | null         | null            | Historical results weighted by opponent quality
suriname                       | null         | null            | Historical results weighted by opponent quality
surrey                         | null         | null            | Historical results weighted by opponent quality
syria                          | null         | null            | Historical results weighted by opponent quality
székely-land                   | null         | null            | Historical results weighted by opponent quality
sápmi                          | null         | null            | Historical results weighted by opponent quality
são-tomé-and-príncipe          | null         | null            | Historical results weighted by opponent quality
tahiti                         | null         | null            | Historical results weighted by opponent quality
taiwan                         | null         | null            | Historical results weighted by opponent quality
tajikistan                     | null         | null            | Historical results weighted by opponent quality
tamil-eelam                    | null         | null            | Historical results weighted by opponent quality
tanzania                       | null         | null            | Historical results weighted by opponent quality
thailand                       | null         | null            | Historical results weighted by opponent quality
tibet                          | null         | null            | Historical results weighted by opponent quality
ticino                         | null         | null            | Historical results weighted by opponent quality
timor-leste                    | null         | null            | Historical results weighted by opponent quality
togo                           | null         | null            | Historical results weighted by opponent quality
tonga                          | null         | null            | Historical results weighted by opponent quality
trinidad-and-tobago            | null         | null            | Historical results weighted by opponent quality
turkey                         | null         | null            | Historical results weighted by opponent quality
turkmenistan                   | null         | null            | Historical results weighted by opponent quality
turks-and-caicos-islands       | null         | null            | Historical results weighted by opponent quality
tuvalu                         | null         | null            | Historical results weighted by opponent quality
two-sicilies                   | null         | null            | Historical results weighted by opponent quality
uae                            | null         | null            | Historical results weighted by opponent quality
uganda                         | null         | null            | Historical results weighted by opponent quality
ukraine                        | null         | null            | Historical results weighted by opponent quality
united-koreans-in-japan        | null         | null            | Historical results weighted by opponent quality
united-states-virgin-islands   | null         | null            | Historical results weighted by opponent quality
vanuatu                        | null         | null            | Historical results weighted by opponent quality
vatican-city                   | null         | null            | Historical results weighted by opponent quality
venezuela                      | null         | null            | Historical results weighted by opponent quality
vietnam                        | null         | null            | Historical results weighted by opponent quality
vietnam-republic               | null         | null            | Historical results weighted by opponent quality
wallis-islands-and-futuna      | null         | null            | Historical results weighted by opponent quality
west-papua                     | null         | null            | Historical results weighted by opponent quality
western-armenia                | null         | null            | Historical results weighted by opponent quality
western-australia              | null         | null            | Historical results weighted by opponent quality
western-isles                  | null         | null            | Historical results weighted by opponent quality
western-sahara                 | null         | null            | Historical results weighted by opponent quality
yemen                          | null         | null            | Historical results weighted by opponent quality
yemen-dpr                      | null         | null            | Historical results weighted by opponent quality
ynys-môn                       | null         | null            | Historical results weighted by opponent quality
yorkshire                      | null         | null            | Historical results weighted by opponent quality
yoruba-nation                  | null         | null            | Historical results weighted by opponent quality
yugoslavia                     | null         | null            | Historical results weighted by opponent quality
zambia                         | null         | null            | Historical results weighted by opponent quality
zanzibar                       | null         | null            | Historical results weighted by opponent quality
zimbabwe                       | null         | null            | Historical results weighted by opponent quality
åland-islands                  | null         | null            | Historical results weighted by opponent quality
